uniqueid,osmid_u,osmid_v,length,lanes,speed_mph,u,v,lane_mile,taz_u,taz_v,taz
158026,65304219,1735998435,91.347,1,20,89715,192154,0.0567605353747499,132.0,132.0,132.0
158027,65304223,1735998435,8.484,1,20,89716,192154,0.005271726297736961,132.0,132.0,132.0
158028,65304223,65304225,81.485,1,20,89716,89717,0.050632557445909505,132.0,132.0,132.0
158029,65304223,65305336,131.99200000000002,2,25,89716,89814,0.16403246051176262,132.0,132.0,132.0
158030,65304225,65304227,81.807,1,20,89717,89718,0.050832639467110745,132.0,131.0,Boundary
158031,65304225,65292181,199.237,1,20,89717,88322,0.12380043993189756,132.0,133.0,Boundary
158032,65304225,65304223,81.485,1,20,89717,89716,0.050632557445909505,132.0,132.0,132.0
158033,65304225,65305338,147.01099999999997,1,20,89717,89815,0.09134862738762473,132.0,132.0,132.0
158034,65304227,65304225,81.807,1,20,89718,89717,0.050832639467110745,131.0,132.0,Boundary
158035,65304227,65360828,53.286,1,20,89718,94205,0.033110467645121607,131.0,131.0,131.0
158036,65304227,65292183,199.217,1,20,89718,88323,0.12378801247716456,131.0,131.0,131.0
158037,65304253,258912609,10.112,1,20,89719,160674,0.006283321113002846,53.0,90.0,Boundary
158038,65304253,65287605,94.457,3,35,89719,87876,0.1760790137571924,53.0,53.0,53.0
158039,65304270,65314578,40.535,1,20,89720,90854,0.025187343880099917,53.0,53.0,53.0
158040,65304270,65304276,92.684,3,35,89720,89721,0.17277393217095205,53.0,53.0,53.0
158041,65304276,258912700,10.157,1,20,89721,160706,0.006311282886152087,53.0,53.0,53.0
158042,65304276,65297588,94.048,3,35,89721,89031,0.1753165894093231,53.0,53.0,53.0
158043,65304291,258912655,10.067,1,20,89722,160688,0.006255359339853605,53.0,53.0,53.0
158044,65304291,65304300,94.078,3,35,89722,89723,0.1753725129556216,53.0,53.0,53.0
158045,65304300,258912673,10.056,1,20,89723,160698,0.0062485242397504566,53.0,53.0,53.0
158046,65304300,65280104,94.492,3,35,89723,87593,0.17614425789454063,53.0,53.0,53.0
158047,65304312,258912613,10.045,1,20,89724,160678,0.006241689139647309,53.0,176.0,Boundary
158048,65304312,65296739,94.588,2,35,89724,88900,0.11754880882846384,53.0,53.0,53.0
158049,65304325,258912675,10.034,1,20,89725,160699,0.006234854039544162,53.0,53.0,53.0
158050,65304325,65304333,98.595,2,35,89725,89726,0.1225284899399754,53.0,53.0,53.0
158051,65304333,258912703,10.034,1,20,89726,160707,0.006234854039544162,53.0,53.0,53.0
158052,65304333,65304340,94.229,2,35,89726,89727,0.11710266320354928,53.0,53.0,53.0
158053,65304340,258912612,10.023,1,20,89727,160677,0.006228018939441013,53.0,53.0,53.0
158054,65304340,4034037297,95.756,2,35,89727,211784,0.1190003355412778,53.0,53.0,53.0
158055,65304361,258912604,9.99,1,20,89728,160670,0.00620751363913157,53.0,53.0,53.0
158056,65304361,65304364,94.299,2,35,89728,89729,0.11718965538668027,53.0,53.0,53.0
158057,65304364,258912646,9.989,1,20,89729,160683,0.00620689226639492,53.0,53.0,53.0
158058,65304364,65304369,94.537,2,35,89729,89730,0.11748542880932558,53.0,53.0,53.0
158059,65304369,258912669,9.978,1,20,89730,160695,0.006200057166291772,53.0,53.0,53.0
158060,65304369,65297116,94.388,2,35,89730,88957,0.11730025973380394,53.0,53.0,53.0
158061,65304376,258912606,9.967,1,20,89731,160672,0.006193222066188625,53.0,53.0,53.0
158062,65304376,65309615,224.195,1,20,89731,90338,0.13930866069320344,53.0,53.0,53.0
158063,65304376,65304379,94.158,2,35,89731,89732,0.11701442827494501,53.0,53.0,53.0
158064,65304379,65293148,94.362,2,35,89732,88474,0.11726794835149813,53.0,53.0,53.0
158065,65304379,258912652,9.967,1,20,89732,160686,0.006193222066188625,53.0,53.0,53.0
158066,65304386,65304390,94.229,2,35,89733,89734,0.11710266320354928,53.0,53.0,53.0
158067,65304386,258912680,9.945,1,20,89733,160703,0.0061795518659823285,53.0,53.0,53.0
158068,65304390,258912597,9.945,1,20,89734,160668,0.0061795518659823285,53.0,53.0,53.0
158069,65304390,5295219562,94.373,2,35,89734,222115,0.11728161855170444,53.0,53.0,53.0
158070,65304399,258912661,9.922,1,20,89735,160691,0.006165260293039383,53.0,53.0,53.0
158071,65304399,65304416,94.291,2,35,89735,89736,0.11717971342289386,53.0,53.0,53.0
158072,65304416,65304422,94.141,2,35,89736,89737,0.11699330160189893,53.0,53.0,53.0
158073,65304416,258912678,9.923,1,20,89736,160701,0.006165881665776033,53.0,53.0,53.0
158074,65304422,65299662,94.309,2,35,89737,89238,0.11720208284141326,53.0,53.0,53.0
158075,65304422,258912594,9.922,1,20,89737,160666,0.006165260293039383,53.0,53.0,53.0
158076,65304435,318302562,104.187,2,35,89738,168150,0.12947792262666682,53.0,53.0,53.0
158077,65304435,258912658,9.911,1,20,89738,160690,0.006158425192936235,53.0,53.0,53.0
158078,65304454,258912676,9.889,1,20,89739,160700,0.006144754992729939,53.0,53.0,53.0
158079,65304454,65304460,94.565,2,35,89739,89740,0.11752022568257796,53.0,53.0,53.0
158080,65304460,258912666,9.878,1,20,89740,160693,0.006137919892626791,53.0,53.0,53.0
158081,65304460,65304469,94.327,2,35,89740,89741,0.11722445225993265,53.0,53.0,53.0
158082,65304469,258912630,9.878,1,20,89741,160681,0.006137919892626791,53.0,53.0,53.0
158083,65304469,65304478,94.143,2,35,89741,89742,0.11699578709284553,53.0,53.0,53.0
158084,65304478,258912605,9.867,1,20,89742,160671,0.006131084792523644,53.0,53.0,53.0
158085,65304478,65304484,94.539,2,35,89742,89743,0.11748791430027217,53.0,53.0,53.0
158086,65304478,65323277,44.529,1,20,89742,91646,0.027669106590279248,53.0,53.0,53.0
158087,65304484,65296994,94.239,2,35,89743,88935,0.1171150906582823,53.0,53.0,53.0
158088,65304484,258912679,9.856,1,20,89743,160702,0.006124249692420496,53.0,179.0,Boundary
158089,65304523,258912648,9.811,1,20,89747,160684,0.006096287919271254,53.0,53.0,53.0
158090,65304523,65304530,96.537,2,35,89747,89748,0.1199709197559248,53.0,53.0,53.0
158091,65304530,258912610,13.889,1,25,89748,160675,0.008630245939329166,53.0,53.0,53.0
158092,65304530,65304588,75.056,3,35,89748,89752,0.1399132563659637,53.0,53.0,53.0
158093,65304530,4025608048,466.381,1,25,89748,211767,0.2897964382914735,53.0,53.0,53.0
158094,65304534,4035874408,204.572,1,25,89749,211805,0.12711546348192426,53.0,181.0,Boundary
158095,65304534,258912610,39.188,3,35,89749,160675,0.07305106441149789,53.0,53.0,53.0
158096,65304538,65304588,15.43,2,35,89750,89752,0.019175562653013036,53.0,53.0,53.0
158097,65304538,65304534,37.136,2,35,89750,89749,0.046150595896454455,53.0,53.0,53.0
158098,65304540,65304538,16.422,2,35,89751,89750,0.020408366162526254,53.0,53.0,53.0
158099,65304540,260327023,3177.93,3,35,89751,161335,5.924037182944561,53.0,182.0,Boundary
158100,65304588,3714677161,212.728,2,35,89752,209928,0.2643667590440802,53.0,53.0,53.0
158101,65304588,65304540,15.965,2,30,89752,89751,0.01984043148122833,53.0,53.0,53.0
158103,65304799,65307339,99.499,1,25,89753,90069,0.061825965923919125,53.0,175.0,Boundary
158104,65304799,258912672,94.924,3,35,89753,160697,0.1769495569612388,53.0,90.0,Boundary
158105,65304820,65304253,70.92099999999998,3,35,89754,89719,0.13220512756782282,53.0,53.0,53.0
158108,65304896,65310799,52.033,3,25,89757,90484,0.09699566281829819,81.0,81.0,81.0
158109,65304901,65304903,142.751,2,20,89759,89760,0.17740315905899315,81.0,81.0,81.0
158110,65304901,65351420,52.915,2,15,89759,93672,0.06575987671964906,81.0,81.0,81.0
158111,65304903,65281164,52.097,1,20,89760,87642,0.032371655461244986,81.0,81.0,81.0
158112,65304903,65318989,52.795,1,20,89760,91280,0.03280537363142655,81.0,81.0,81.0
158113,65304906,65292693,84.462,1,20,89761,88394,0.05248238408291598,81.0,81.0,81.0
158114,65304911,65304952,69.54599999999999,1,20,89762,89765,0.04321398834304746,91.0,91.0,91.0
