x_x,y_x,x_y,y_y,time_departure
-122.4086959,37.7853941,-122.4684431,37.7789094,33908.1
-122.416889,37.781954,-122.4244018,37.7752741,33908.8
-122.4029838,37.7880314,-122.4195943,37.7763674,33909.1
-122.406589,37.7875664,-122.4080914,37.7949473,33910.1
-122.4024099,37.7909791,-122.4119262,37.7972708,33910.5
-122.4029757,37.7937875,-122.4207014,37.7905842,33912.1
-122.417548,37.7833151,-122.4577334,37.7648186,33913.4
-122.3991626,37.7910505,-122.4965621,37.7338784,33913.5
-122.4064263,37.7903715,-122.4345767,37.7924773,33915.2
-122.4166194,37.7786767,-122.4370393,37.7591698,33916.9
-122.4140702,37.7828026,-122.4395265,37.7832417,33917.4
-122.416889,37.781954,-122.4493494,37.7735338,33918.6
-122.4097,37.7862213,-122.4243032,37.7551023,33919.8
-122.4054347,37.7896352,-122.4064889,37.7769632,33920.3
-122.4020077,37.788802,-122.3934057,37.7906148,33924.7
-122.4169901,37.7804986,-122.4103829,37.7643089,33924.9
-122.3995716,37.7907272,-122.4620518,37.7642433,33927.3
-122.4013982,37.7892837,-122.4608618,37.7626475,33931.3
-122.3988009,37.7933647,-122.4022758,37.7738026,33933.5
-122.3997849,37.7922611,-122.4183425,37.7986465,33937.8
-122.4097,37.7862213,-122.42012,37.7960631,33940.2
-122.3982976,37.791734,-122.397564,37.789771,33944.4
-122.4100772,37.7880844,-122.4213814,37.7852193,33944.7
-122.3964805,37.7936648,-122.397564,37.789771,33947
-122.4129919,37.7858081,-122.4719866,37.7768727,33947.4
-122.4020077,37.788802,-122.3877083,37.7870796,33955
-122.4009593,37.7921162,-122.4070746,37.7981326,33960.2
-122.4171732,37.7814508,-122.3888653,37.7403811,33960.6
-122.3964805,37.7936648,-122.4747566,37.7303772,33960.9
-122.4135549,37.7886026,-122.3254452,37.5330804,33962.9
-122.4005888,37.7902502,-122.4131792,37.786738,33963.6
-122.4100772,37.7880844,-122.4511233,37.7819312,33967.1
-122.4155274,37.7816602,-122.4410012,37.7907581,33975.3
-122.4054347,37.7896352,-122.3932672,37.7821473,33977.5
-122.4137429,37.7895358,-122.4244963,37.7757434,33978.8
-122.4034972,37.7879652,-122.39857,37.7800422,33981.7
-122.4133664,37.7876672,-122.3997849,37.7922611,33982.4
-122.4124836,37.7804523,-122.3911772,37.7847532,33982.8
-122.4011522,37.7930673,-122.4644381,37.7829515,33984.2
-122.4098893,37.7871562,-122.4339537,37.7158096,33986
-122.4102667,37.7890203,-122.3887435,37.7795153,33988
-122.3974037,37.7924404,-122.4154605,37.7980625,33990.2
-122.4140702,37.7828026,-122.3949513,37.7918524,33992.7
-122.4020317,37.7891058,-122.3932061,37.7932459,33993.7
-122.4020317,37.7891058,-122.4307015,37.7816439,33999.8
-122.4135549,37.7886026,-122.4480814,37.7824919,33999.8
-122.4068519,37.7856295,-122.4542995,37.7440364,34000.6
-122.4084166,37.7882951,-122.4231658,37.7948284,34002.3
-122.411723,37.7878756,-122.3831811,37.7399632,34002.7
-122.4169901,37.7804986,-122.4083274,37.763156,34003.8
-122.4020317,37.7891058,-122.3930445,37.7615052,34005.1
-122.4155274,37.7816602,-122.4594818,37.6989387,34005.4
-122.3963514,37.7936818,-122.4265859,37.803007,34006.8
-122.4020317,37.7891058,-122.3884261,37.7410761,34007
-122.4025983,37.791909,-122.4115101,37.7668455,34007.1
-122.4080561,37.7864339,-122.4207774,37.76823,34007.5
-122.4162654,37.7774619,-122.4378476,37.7836249,34008.2
-122.4131792,37.786738,-122.4004765,37.785012,34009.7
-122.4088057,37.7901622,-122.4463503,37.7033392,34010
-122.3991626,37.7910505,-122.3907646,37.7466865,34012.2
-122.3999769,37.7932159,-122.3958174,37.7862557,34013.4
-122.4153391,37.7807264,-122.4135549,37.7886026,34015.7
-122.3991626,37.7910505,-122.0607803,37.9131069,34016.6
